sample_id,project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,verified
1,quickfixj,https://github.com/quickfix-j/quickfixj,org.apache.mina,mina-core,2.1.5,2.2.1,11,COMPILATION_FAILURE,PASS,FAIL,YES
2,pdb,https://github.com/feedzai/pdb,mysql,mysql-connector-java,5.1.49,8.0.28,11,COMPILATION_FAILURE,PASS,FAIL,YES
3,recheck,https://github.com/retest/recheck,org.slf4j,slf4j-api,1.7.36,2.0.3,11,TEST_FAILURE,PASS,FAIL,YES
4,publish-over-ssh-plugin,https://github.com/jenkinsci/publish-over-ssh-plugin,io.jenkins.tools.bom,bom-2.289.x,961.vf0c9f6f59827,1500.ve4d05cd32975,11,ENFORCER_FAILURE,PASS,FAIL,YES
5,java-storage-nio,https://github.com/googleapis/java-storage-nio,com.google.cloud,google-cloud-shared-dependencies,3.11.0,3.12.0,11,ENFORCER_FAILURE,PASS,FAIL,YES
6,IDS-Messaging-Services,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services,org.springframework,spring-core,5.3.24,6.0.7,11,COMPILATION_FAILURE,PASS,FAIL,YES
7,pdb,https://github.com/feedzai/pdb,org.slf4j,slf4j-api,1.7.36,2.0.4,11,TEST_FAILURE,PASS,FAIL,YES
8,snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc,com.google.api,gax,2.16.0,2.30.0,11,ENFORCER_FAILURE,PASS,FAIL,YES
9,wsdoc,https://github.com/versly/wsdoc,com.fasterxml.jackson.core,jackson-databind,2.4.2,2.9.10.8,11,TEST_FAILURE,PASS,FAIL,YES
10,IDS-Messaging-Services,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services,org.junit.platform,junit-platform-surefire-provider,1.0.3,1.3.2,11,TEST_FAILURE,PASS,FAIL,YES
