project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,classification,pre_exit_code,post_exit_code,breaking_commit,parent_commit,pre_log,post_log,source_json
commons-rdf,https://github.com/apache/commons-rdf.git,org.glassfish.jaxb,jaxb-runtime,2.3.6,4.0.2,11,,PASS,PASS,SAFE,0,0,00063ce5d656166afc755a5a4fc765b439c1b8d3,22a7ee037bacd5ff6d2572a77ec4ad7da5b54aae,person1\task2_logs\commons-rdf_00063ce5_pre.log,person1\task2_logs\commons-rdf_00063ce5_post.log,00063ce5d656166afc755a5a4fc765b439c1b8d3.json
msgraph-sdk-java-core,https://github.com/microsoftgraph/msgraph-sdk-java-core.git,com.azure,azure-core,1.30.0,1.31.0,11,,PASS,PASS,INVALID,0,0,0012130417f7d0d5f0ef04b05bbc0b73ca92c363,f14fc08176c4f08ff073dbcc24bf14123bd0f1e0,person1\task2_logs\msgraph-sdk-java-core_00121304_pre.log,person1\task2_logs\msgraph-sdk-java-core_00121304_post.log,0012130417f7d0d5f0ef04b05bbc0b73ca92c363.json
html2pop3,https://github.com/matteobaccan/html2pop3.git,ch.qos.logback,logback-classic,1.2.8,1.2.9,11,,PASS,PASS,SAFE,0,0,003aa349231b57e55bc518acf47ae6cdd9701663,471d2f14213f7984f00757f92dac9722605e4d5c,person1\task2_logs\html2pop3_003aa349_pre.log,person1\task2_logs\html2pop3_003aa349_post.log,003aa349231b57e55bc518acf47ae6cdd9701663.json
ApprovalTests.Java,https://github.com/approvals/ApprovalTests.Java.git,org.testng,testng,7.5,7.7.0,11,,ERROR,ERROR,INVALID,,,00450349aef84e1b27619dbd3952a710942de9aa,e4404c727bfa41e605566e5b54d06f04a204e7c4,,,00450349aef84e1b27619dbd3952a710942de9aa.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,netty-nio-client,2.17.182,2.17.226,11,,FAIL,FAIL,INVALID,1,1,004ade927e35090cf1d682f3caef5b2436844fda,65f998914b060e0cf17cc4257ca7380869eb37c7,person1\task2_logs\spring-content-examples_004ade92_pre.log,person1\task2_logs\spring-content-examples_004ade92_post.log,004ade927e35090cf1d682f3caef5b2436844fda.json
zoltar,https://github.com/spotify/zoltar.git,com.google.cloud,google-cloud-bom,0.158.0,0.186.0,11,,FAIL,FAIL,INVALID,1,1,0055710f5570536aff490d588ce7d40c31d7a3f5,fa7d607493c220ee04020f4c29dac5bc0357edfe,person1\task2_logs\zoltar_0055710f_pre.log,person1\task2_logs\zoltar_0055710f_post.log,0055710f5570536aff490d588ce7d40c31d7a3f5.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,s3,2.17.290,2.20.92,11,,FAIL,FAIL,INVALID,1,1,0065d2103fce38c30bf9b2f7af86254f95d231d0,6bdc63d6fe586a7f6bafd635ae8df1c77bea6fe3,person1\task2_logs\spring-content-examples_0065d210_pre.log,person1\task2_logs\spring-content-examples_0065d210_post.log,0065d2103fce38c30bf9b2f7af86254f95d231d0.json
micro-migration,https://github.com/xdev-software/micro-migration.git,org.codehaus.mojo,extra-enforcer-rules,1.6.1,1.7.0,11,,PASS,PASS,SAFE,0,0,006a7ac429cd1354283ae58b12079dd13e8a238d,e8487f0ce8e3e619a828e46c8278c3ffbcf16ed1,person1\task2_logs\micro-migration_006a7ac4_pre.log,person1\task2_logs\micro-migration_006a7ac4_post.log,006a7ac429cd1354283ae58b12079dd13e8a238d.json
openapi-diff,https://github.com/OpenAPITools/openapi-diff.git,ch.qos.logback,logback-classic,1.3.0,1.4.5,11,,ERROR,NOT_RUN,INVALID,1,,0078cf27ae13fc37fc549ac3d3e59c3dd6965984,f50a458aba5f56ba218c98d036619747ea1dc883,person1\task2_logs\openapi-diff_0078cf27_pre.log,,0078cf27ae13fc37fc549ac3d3e59c3dd6965984.json
bboxdb,https://github.com/jnidzwetzki/bboxdb.git,org.json,json,20230227,20230618,11,,TIMEOUT,NOT_RUN,INVALID,,,007e32c96afae48a599359d085781901fe0a0682,877adabab0b588e48bc10c2f0bbc1cbd77f8a0cc,person1\task2_logs\bboxdb_007e32c9_pre.log,,007e32c96afae48a599359d085781901fe0a0682.json
