project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,classification,source_json
quickfixj,https://github.com/quickfix-j/quickfixj/pull/502,org.apache.mina,mina-core,2.1.5,2.2.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,00a7cc31784ac4a9cc27d506a73ae589d6df36d6.json
publish-over-ssh-plugin,https://github.com/jenkinsci/publish-over-ssh-plugin/pull/282,io.jenkins.tools.bom,bom-2.289.x,961.vf0c9f6f59827,1500.ve4d05cd32975,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,00c78c1273efbc6aeae852963ed328a5cb57092e.json
IDS-Messaging-Services,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/729,org.springframework,spring-core,5.3.24,6.0.7,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,01609f962f32cc2ba04fa574c79429e86b372c6b.json
java-storage-nio,https://github.com/googleapis/java-storage-nio/pull/1206,com.google.cloud,google-cloud-shared-dependencies,3.11.0,3.12.0,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,01737a7815069eef6fd035f077f5cc6f0a79b635.json
recheck,https://github.com/retest/recheck/pull/1041,org.slf4j,slf4j-api,1.7.36,2.0.3,11,TEST_FAILURE,PASS,FAIL,BREAKING,02363207c365b3befd6426f6dda5c8eac904d760.json
pdb,https://github.com/feedzai/pdb/pull/342,mysql,mysql-connector-java,5.1.49,8.0.28,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,0305beafdecb0b28f7c94264ed20cdc4e41ff067.json
snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc/pull/1441,com.google.api,gax,2.16.0,2.30.0,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,04f776fa9bed9155776378daee788c7c166d3d35.json
wsdoc,https://github.com/versly/wsdoc/pull/75,com.fasterxml.jackson.core,jackson-databind,2.4.2,2.9.10.8,11,TEST_FAILURE,PASS,FAIL,BREAKING,063cf862c045e0a9e401a539497e34ddaf8332b3.json
singer,https://github.com/pinterest/singer/pull/166,org.apache.thrift,libthrift,0.12.0,0.16.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,067f5d2c81ff87c90755f4ed48f62eb5faa8ecf9.json
code-coverage-api-plugin,https://github.com/jenkinsci/code-coverage-api-plugin/pull/645,org.jenkins-ci,acceptance-test-harness,5504.v485694f31cdf,5541.va_c0a_36b_b_f825,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,06c5386831e97e94d9b9fd155d3ea4aa8711c4e7.json
opennlp,https://github.com/apache/opennlp/pull/413,com.puppycrawl.tools,checkstyle,7.2,8.29,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,0771fe8d060aec9dc22344b8946e25ba8500afb9.json
pay-adminusers,https://github.com/alphagov/pay-adminusers/pull/1594,ch.qos.logback,logback-classic,1.2.11,1.4.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,07fad972bb884e9fa6143b4f870d08305811607d.json
camunda-platform-7-mockito,https://github.com/camunda-community-hub/camunda-platform-7-mockito/pull/274,org.springframework,spring-context,5.3.23,6.0.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,07ff1a34661db6c7f0ca03156ff5d8936b5123f5.json
assertj-guava,https://github.com/assertj/assertj-guava/pull/98,org.assertj,assertj-core,3.22.0,3.23.0,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,0968864d08e0fce1e5e1caaf89afddd2cc1b2569.json
fscrawler,https://github.com/dadoonet/fscrawler/pull/1296,org.apache.poi,poi-ooxml,4.1.2,5.1.0,11,TEST_FAILURE,PASS,FAIL,BREAKING,097d93fbb2f9998ef1390ad10f92d1b70fda8b90.json
pull-request-monitoring-plugin,https://github.com/jenkinsci/pull-request-monitoring-plugin/pull/178,io.jenkins.plugins,echarts-api,5.1.2-3,5.3.0-2,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,09a8774fc7d35a4bff24b55363fb6d2b94ff09e9.json
simplelocalize-cli,https://github.com/simplelocalize/simplelocalize-cli/pull/74,org.yaml,snakeyaml,1.24,2.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,0a11c04038eae517540051dbf51f7f26b7221f20.json
biapi,https://github.com/xdev-software/biapi/pull/69,net.sf.jasperreports,jasperreports,6.18.1,6.19.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,0abf7148300f40a1da0538ab060552bca4a2f1d8.json
a,https://github.com/fmtn/a/pull/219,org.graalvm.js,js-scriptengine,22.3.2,23.0.1,11,TEST_FAILURE,PASS,FAIL,BREAKING,0c088ff435224b168f93d2a20b829af940bb67dd.json
jadler,https://github.com/jadler-mocking/jadler/pull/253,org.eclipse.jetty,jetty-server,8.1.11.v20130520,11.0.10,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,0e8625f492854a78c0e1ceff67b2abd7e081d42b.json
causeway,https://github.com/apache/causeway/pull/970,com.sun.xml.bind.external,relaxng-datatype,2.3.6,4.0.0,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,0ec1ab7e205e0ea1bafc0e0ab7be056716dd560b.json
junit-quickcheck,https://github.com/pholser/junit-quickcheck/pull/483,org.mockito,mockito-core,4.11.0,5.1.1,11,TEST_FAILURE,PASS,FAIL,BREAKING,0ee8b9376b967938e8efd89a0959214a30d1b3fb.json
jcabi-maven-plugin,https://github.com/jcabi/jcabi-maven-plugin/pull/145,commons-io,commons-io,2.11.0,2.13.0,11,WERROR_FAILURE,PASS,FAIL,BREAKING,1053033eef680f0199bf25ec6e3db52cc13ef3da.json
lithium,https://github.com/wireapp/lithium/pull/98,io.dropwizard,dropwizard-client,2.1.5,4.0.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,10d7545c5771b03dd9f6122bd5973a759eb2cd03.json
dropwizard-pac4j,https://github.com/pac4j/dropwizard-pac4j/pull/292,jakarta.servlet,jakarta.servlet-api,4.0.4,6.0.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,115827c6675f532a4d33751d1a0c0ba394bbd304.json
jspc-maven-plugin,https://github.com/leonardehrenfried/jspc-maven-plugin/pull/165,org.codehaus.plexus,plexus-utils,3.5.1,4.0.0,11,TEST_FAILURE,PASS,FAIL,BREAKING,125f1253d8331f14752a4a8d49559445301ab02d.json
config-file-provider-plugin,https://github.com/jenkinsci/config-file-provider-plugin/pull/147,io.jenkins.tools.bom,bom-2.277.x,29,961.vf0c9f6f59827,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,1280336ece95fdbbed78274a754f90694f52ae56.json
geostore,https://github.com/geosolutions-it/geostore/pull/245,com.h2database,h2,1.3.175,2.0.206,11,TEST_FAILURE,PASS,FAIL,BREAKING,12e237710199fafa086fd2299edefd5f8f05a63c.json
docker-adapter,https://github.com/artipie/docker-adapter/pull/544,com.artipie,asto-core,v1.13.0,v1.15.4,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,13fd75e233a5cb2771a6cb186c0decaed6d6545a.json
forensics-api-plugin,https://github.com/jenkinsci/forensics-api-plugin/pull/472,io.jenkins.plugins,commons-text-api,1.10.0-27.vb_fa_3896786a_7,1.10.0-36.vc008c8fcda_7b_,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,14270a2ff9e02717d50f77fe5473b0aaca7fc9db.json
nem,https://github.com/NemProject/nem/pull/318,org.flywaydb,flyway-core,3.2.1,9.21.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,14fc5fa696f499cac48401b3a86882b3bf7d9b82.json
graphql-jpa-query,https://github.com/introproventures/graphql-jpa-query/pull/333,org.springframework.boot,spring-boot-dependencies,2.7.7,3.0.1,11,DEPENDENCY_RESOLUTION_FAILURE,PASS,PASS,SAFE,164ee160adc0f663c2069bdbfcdd60e8596327b8.json
scheduler,https://github.com/btrplace/scheduler/pull/347,com.github.javaparser,javaparser-core,3.18.0,3.24.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,165381d26b2c3d2278fde88c16f95807506451fe.json
allure-maven,https://github.com/allure-framework/allure-maven/pull/241,net.lingala.zip4j,zip4j,1.3.2,2.11.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,16ae40b1e17e14ee3ae20ac211647e47399a01a9.json
